chuchottements  --  72 - 216 100%
scime  --  68 - 136 94%
nime  --  68 - 136 94%
nest  --  63 - 127 88%
cime  --  54 - 109 75%
chuchotements  --  54 - 216 75%
rassassier  --  40 - 81 56%
Tranche  --  34 - 104 48%
Jai  --  30 - 121 42%
Méprise  --  28 - 57 39%
coup  --  28 - 112 38%
tranche  --  26 - 104 36%
jour  --  26 - 104 36%
neige  --  26 - 104 36%
Perds  --  25 - 76 35%
n'ai  --  24 - 121 33%
simaginer  --  21 - 63 29%
chaleur  --  20 - 60 27%
lois  --  20 - 60 27%
méprise  --  19 - 57 26%
rapidement  --  15 - 76 21%
rationaliste  --  12 - 64 17%
toi-même  --  12 - 64 17%
rationnaliste  --  12 - 64 17%
celle  --  12 - 64 17%
cîme  --  12 - 64 17%
Toi-même  --  12 - 64 17%
imprévisible  --  9 - 28 12%
retour  --  7 - 23 10%
donne  --  7 - 23 10%
richesse  --  7 - 23 10%
gloire  --  7 - 23 10%
silence  --  7 - 23 10%
cet  --  7 - 23 10%
argent  --  7 - 23 10%
quel  --  7 - 23 10%
prendre  --  7 - 23 10%
contribuer  --  7 - 23 10%
progrès  --  7 - 23 10%
littérature  --  7 - 23 10%
désire  --  7 - 23 10%
n'aurai  --  7 - 23 10%
pas:  --  7 - 23 10%
confirmation  --  7 - 23 10%
ont  --  7 - 23 10%
touché  --  7 - 23 10%
connait  --  5 - 20 6%
connaît  --  4 - 20 5%
n'aie  --  4 - 12 5%
